repetition,apk,config,num_flows,time,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,nocallbacks,noexceptions,nothischainreduction,onesourceatatime,onecomponentatatime,pathspecificresults,enablereflection,singlejoinpointabstraction,complete,incomplete
1,com.audible.application.apk,config_FlowDroid_0.xml,291,4188263.883,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0
1,com.audible.application.apk,config_FlowDroid_1.xml,0,253365.8989,PTSBASED,3,DEFAULT,REMOVECODE,VTA,CONTEXTFLOWSENSITIVE,ALL,50,0,SOURCESONLY,NONE,DEFAULT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_10.xml,0,7212605.178,NONE,4,DEFAULT,REMOVECODE,GEOM,FLOWINSENSITIVE,ALL,1,1,SOURCESONLY,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,-1
1,com.audible.application.apk,config_FlowDroid_100.xml,0,7219163.871,PTSBASED,3,DEFAULT,NONE,CHA,CONTEXTFLOWSENSITIVE,NONE,1,600,SOURCESONLY,CONTEXTFLOWSENSITIVE,DEFAULTFALLBACK,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,-1
1,com.audible.application.apk,config_FlowDroid_101.xml,0,171517.7669,LAZY,4,FAST,REMOVECODE,VTA,FLOWINSENSITIVE,ARRAYONLY,50,600,CONTEXTSENSITIVE,CONTEXTFLOWINSENSITIVE,NONE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_102.xml,0,363018.0073,NONE,5,DEFAULT,PROPAGATECONSTS,RTA,CONTEXTFLOWSENSITIVE,ALL,80,600,CONTEXTINSENSITIVE,NONE,EASY,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0
1,com.audible.application.apk,config_FlowDroid_103.xml,0,2320354.819,FLOWSENSITIVE,7,FAST,REMOVECODE,SPARK,FLOWINSENSITIVE,ARRAYONLY,90,600,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,DEFAULT,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_104.xml,0,1219841.352,PTSBASED,10,FAST,PROPAGATECONSTS,GEOM,CONTEXTFLOWSENSITIVE,ARRAYONLY,100,600,CONTEXTSENSITIVE,NONE,DEFAULTFALLBACK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_105.xml,0,7224217.378,FLOWSENSITIVE,20,DEFAULT,REMOVECODE,AUTO,CONTEXTFLOWSENSITIVE,ALL,110,600,CONTEXTINSENSITIVE,NONE,DEFAULTFALLBACK,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,-1
1,com.audible.application.apk,config_FlowDroid_106.xml,0,7217042.676,LAZY,1,DEFAULT,PROPAGATECONSTS,GEOM,FLOWINSENSITIVE,ALL,120,600,SOURCESONLY,CONTEXTFLOWINSENSITIVE,DEFAULT,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,-1
1,com.audible.application.apk,config_FlowDroid_107.xml,0,785496.8592,NONE,2,DEFAULT,NONE,SPARK,FLOWINSENSITIVE,ARRAYONLY,150,600,CONTEXTSENSITIVE,NONE,DEFAULTFALLBACK,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_108.xml,0,1460729.149,LAZY,5,DEFAULT,NONE,RTA,FLOWINSENSITIVE,NONE,200,600,CONTEXTSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_109.xml,0,7217845.769,PTSBASED,1,DEFAULT,REMOVECODE,GEOM,FLOWINSENSITIVE,ARRAYONLY,600,600,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,NONE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,-1
1,com.audible.application.apk,config_FlowDroid_11.xml,30,1188502.239,FLOWSENSITIVE,5,DEFAULT,NONE,AUTO,CONTEXTFLOWSENSITIVE,NONE,50,1,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,DEFAULTFALLBACK,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_110.xml,0,328838.4069,PTSBASED,7,DEFAULT,NONE,CHA,FLOWINSENSITIVE,ALL,90,90,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,DEFAULT,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,0
1,com.audible.application.apk,config_FlowDroid_111.xml,42,942886.4775,FLOWSENSITIVE,20,DEFAULT,NONE,VTA,CONTEXTFLOWSENSITIVE,NONE,80,80,CONTEXTSENSITIVE,CONTEXTFLOWSENSITIVE,EASY,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_112.xml,0,1903646.854,FLOWSENSITIVE,5,FAST,PROPAGATECONSTS,RTA,CONTEXTFLOWSENSITIVE,NONE,110,50,CONTEXTINSENSITIVE,CONTEXTFLOWSENSITIVE,NONE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_113.xml,0,240732.3659,FLOWSENSITIVE,1,DEFAULT,PROPAGATECONSTS,SPARK,FLOWINSENSITIVE,NONE,100,600,CONTEXTSENSITIVE,NONE,DEFAULT,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,0
1,com.audible.application.apk,config_FlowDroid_12.xml,0,7223444.028,PTSBASED,7,FAST,PROPAGATECONSTS,CHA,CONTEXTFLOWSENSITIVE,ALL,80,1,CONTEXTSENSITIVE,NONE,EASY,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,-1
1,com.audible.application.apk,config_FlowDroid_13.xml,0,115105.4765,LAZY,10,DEFAULT,PROPAGATECONSTS,VTA,FLOWINSENSITIVE,NONE,90,1,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,DEFAULT,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,0
