apk;config;--aliasalgo;--aplength;--callbackanalyzer;--codeelimination;--cgalgo;--dataflowsolver;--implicit;--maxcallbackspercomponent;--maxcallbacksdepth;--pathalgo;--staticmode;--taintwrapper;--aliasflowins;--nocallbacks;--noexceptions;--nothischainreduction;--onesourceatatime;--onecomponentatatime;--pathspecificresults;--enablereflection;--singlejoinpointabstraction;num_flows;time
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;525;3523126.51364598
com.audiomack_4.12.5-4846_minAPI16(arm64-v8a)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;76;2175748.883244
com.azure.authenticator_6.2002.0898-20200898_minAPI19(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;425;1341916.741758
com.bitstrips.imoji_10.75.0.3793-1075003793_minAPI19(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;24;722294.815057074
com.contextlogic.wish_4.37.1-1201_minAPI19(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;101;1767343.45476795
com.creditkarma.mobile_5.3.2-342483_minAPI19(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;16;2461748.95507493
com.ebay.mobile_5.39.0.13-184_minAPI23(arm64-v8a,armeabi,armeabi-v7a,mips,x86,x86_64)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;104;1530954.93723301
com.enflick.android.TextNow_20.2.0.1-13121_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;7228217.15022798
com.expedia.bookings_20.5.0-20050001_minAPI24(nodpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;169;1081291.50620801
com.facebook.katana_256.0.0.39.117-196542507_minAPI28(arm64-v8a)(560,640dpi)_apkmirror.com.apk;0;FLOWSENSITIVE;2;FAST;PROPAGATECONSTS;CHA;FLOWINSENSITIVE;ARRAYONLY;1;0;CONTEXTINSENSITIVE;CONTEXTFLOWINSENSITIVE;EASY;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;103939.514819998
