apk,config,num_flows,time,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,nocallbacks,noexceptions,enablereflection,singlejoinpointabstraction
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aliasalgof.xml,44,1275270.967,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aliasalgolazy.xml,0,463399.5347,LAZY,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aliasalgonone.xml,33,380449.692,NONE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aliasalgoptsbased.xml,0,432202.0948,PTSBASED,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aliasflowin.xml,37,1514650.569,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,TRUE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength1.xml,66,2221218.864,FLOWSENSITIVE,1,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength10.xml,44,1041157.375,FLOWSENSITIVE,10,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength2.xml,49,1531020.998,FLOWSENSITIVE,2,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength20.xml,40,1342915.927,FLOWSENSITIVE,20,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength3.xml,38,1559612.318,FLOWSENSITIVE,3,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength4.xml,43,1613027.963,FLOWSENSITIVE,4,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength5.xml,43,1380886.412,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_aplength7.xml,35,1210242.711,FLOWSENSITIVE,7,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_callbackanalyzerdef.xml,43,1366639.988,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_callbackanalyzerfast.xml,40,14318.81885,FLOWSENSITIVE,5,FAST,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
com.audible.application_2.46.0-55051_minAPI16(arm64-v8a-armeabi-v7a-x86-x86_64)(nodpi)_apkmirror.com.apk,config_FlowDroid_cgalgoauto.xml,39,1532291.216,FLOWSENSITIVE,5,DEFAULT,PROPAGATECONSTS,AUTO,CONTEXTFLOWSENSITIVE,NONE,100,-1,CONTEXTSENSITIVE,NONE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE
