"","config","config2","time1","time2","time3","f1","f2","f3","flows1","flows2","flows3","completed1","completed2","completed3","time","fmeasure","flows","completed","apicalldepth","kobjsens","pta","analyzestrings_unfiltered","filetransforms","ignoreexceptionflows","ignorenocontextflows","implicitflow","imprecisestrings","limitcontextforcomplex","limitcontextforgui","limitcontextforstrings","multipassfb","noarrayindex","noclinitcontext","noclonestatics","nofallback","nojsa","noscalaropts","nova","preciseinfoflow","transfertaintfield","typesforcontext"
"1",0,"config_0",71477925,81640211,65219606,0,0,0,0,0,0,197,197,197,71477925,0,0,197,0,1,"paddle",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",1,"config_1",93740698,102089098,90173570,0,0,0,0,0,0,190,110,196,93740698,0,0,190,0,2,"geo",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",2,"config_2",99928721,100744760,99924495,0,0,0,0,0,0,61,33,45,99928721,0,0,45,0,3,"spark",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"4",3,"config_3",71601527,81304369,65191056,0,0,0,0,0,0,197,197,197,71601527,0,0,197,0,4,"paddle",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"5",4,"config_4",100839570,100616600,100636595,0,0,0,0,0,0,32,32,34,100636595,0,0,32,0,5,"geo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"6",5,"config_5",100739065,101016724,101541128,0,0,0,0,0,0,42,32,52,101016724,0,0,42,0,6,"spark",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"7",6,"config_6",71526516,81501577,64784714,0,0,0,0,0,0,197,197,197,71526516,0,0,197,0,18,"paddle",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"8",7,"config_7",93914480,102908777,100301125,0,0,0,0,0,0,194,123,144,100301125,0,0,144,1,1,"geo",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"9",8,"config_8",100276134,100824220,100866638,0.036809816,0,0.117647059,3,0,10,48,32,63,100824220,0.036809816,3,48,1,2,"spark",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"10",9,"config_9",71656069,81013461,65158028,0,0,0,0,0,0,197,197,197,71656069,0,0,197,1,3,"paddle",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"11",10,"config_10",100554061,100827546,100867346,0,0,0,0,0,0,32,32,32,100827546,0,0,32,1,4,"geo",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"12",11,"config_11",100895485,100736366,100688522,0.024691358,0,0.024691358,2,0,2,42,32,34,100736366,0.024691358,2,34,1,5,"spark",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"13",12,"config_12",71334590,82523997,64883161,0,0,0,0,0,0,197,197,197,71334590,0,0,197,1,6,"paddle",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"14",13,"config_13",100241204,100859460,100237070,0,0,0,0,0,0,59,32,43,100241204,0,0,43,1,18,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"15",14,"config_14",101657825,100883764,100863660,0.060606061,0,0.024691358,5,0,2,42,32,34,100883764,0.024691358,2,34,50,1,"spark",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"16",15,"config_15",71585678,82011993,65105645,0,0,0,0,0,0,197,197,197,71585678,0,0,197,50,2,"paddle",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"17",16,"config_16",93685609,102196316,99256925,0,0,0,0,0,0,195,125,144,99256925,0,0,144,50,3,"geo",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"18",17,"config_17",100266101,101016144,100767270,0,0,0,0,0,0,33,32,32,100767270,0,0,32,50,4,"spark",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"19",18,"config_18",71216308,81868698,65451058,0,0,0,0,0,0,197,197,197,71216308,0,0,197,50,5,"paddle",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"20",19,"config_19",100681666,100979952,100930752,0,0,0,0,0,0,32,32,33,100930752,0,0,32,50,6,"geo",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
