"","config","time1","time2","time3","tp1","tp2","tp3","fp1","fp2","fp3","completed1","completed2","completed3","time","tp","fp","completed","apicalldepth","kobjsens","pta","analyzestrings_unfiltered","filetransforms","ignoreexceptionflows","ignorenocontextflows","implicitflow","imprecisestrings","limitcontextforcomplex","limitcontextforgui","limitcontextforstrings","multipassfb","noarrayindex","noclinitcontext","noclonestatics","nofallback","nojsa","noscalaropts","nova","preciseinfoflow","transfertaintfield","typesforcontext"
"1","config_DroidSafe_0.xml",49182328.719148,46669330.8025701,50460887.095343,0,0,0,0,0,0,24,24,24,49182328.719148,0,0,24,0,1,"paddle",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","config_DroidSafe_1.xml",82051134.5878058,79459448.9128323,83892290.353976,0,0,0,0,0,0,20,20,20,82051134.5878058,0,0,20,0,2,"geo",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","config_DroidSafe_10.xml",203906399.512774,195413313.894946,195627187.56181,0,0,0,0,0,0,2,3,3,195627187.56181,0,0,3,1,4,"geo",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"4","config_DroidSafe_11.xml",90561226.9837831,78006107.803252,82378614.634416,1,1,1,13,13,13,20,20,20,82378614.634416,1,13,20,1,5,"spark",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"5","config_DroidSafe_12.xml",45076172.133464,44686310.1852569,45228917.6628859,0,0,0,0,0,0,24,24,24,45076172.133464,0,0,24,1,6,"paddle",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"6","config_DroidSafe_13.xml",75728713.9252778,76989616.0748172,83041708.3400549,0,0,0,0,0,0,20,20,20,76989616.0748172,0,0,20,1,18,"geo",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"7","config_DroidSafe_14.xml",114613203.961644,107371360.629656,113477811.240075,11,16,11,95,124,95,17,17,17,113477811.240075,11,95,17,50,1,"spark",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"8","config_DroidSafe_15.xml",45168733.9001582,44679764.8044675,45023764.106275,0,0,0,0,0,0,24,24,24,45023764.106275,0,0,24,50,2,"paddle",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"9","config_DroidSafe_16.xml",76963013.5815468,75593485.5048809,74899310.344454,0,0,0,0,0,0,20,20,20,75593485.5048809,0,0,20,50,3,"geo",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"10","config_DroidSafe_17.xml",99230616.0042458,99342107.6168631,134041508.75632,0,0,0,8,8,8,21,21,21,99342107.6168631,0,8,21,50,4,"spark",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"11","config_DroidSafe_18.xml",45168199.9498901,45012853.8774647,46944829.246415,0,0,0,0,0,0,24,24,24,45168199.9498901,0,0,24,50,5,"paddle",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"12","config_DroidSafe_19.xml",85774155.045967,81373247.5229217,91212197.5413889,0,0,0,0,0,0,20,20,20,85774155.045967,0,0,20,50,6,"geo",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"13","config_DroidSafe_2.xml",106680890.153884,94614572.1826557,111105413.349271,0,0,0,0,0,0,19,19,19,106680890.153884,0,0,19,0,3,"spark",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
