"","config","f1","f2","f3","f-measure","time1","time2","time3","time","completed1","completed2","completed3","completed","aliasalgo","aplength","callbackanalyzer","codeelimination","cgalgo","dataflowsolver","implicit","maxcallbackspercomponent","maxcallbacksdepth","pathalgo","staticmode","taintwrapper","aliasflowins","analyzeframeworks","nocallbacks","noexceptions","nothischainreduction","onesourceatatime","onecomponentatatime","pathspecificresults","enablereflection","singlejoinpointabstraction"
"1","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_0.xml",0.669201521,0.669201521,0.669201521,0.669201521,3591288,3682916,3645673,3645673,198,198,198,198,"FLOWSENSITIVE",2,"FAST","PROPAGATECONSTS","CHA","FLOWINSENSITIVE","ARRAYONLY",1,0,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","EASY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_1.xml",0.380487805,0.388349515,0.380487805,0.380487805,7148682,6269650,7701773,7148682,196,197,195,196,"PTSBASED",3,"DEFAULT","REMOVECODE","VTA","CONTEXTFLOWSENSITIVE","ALL",50,0,"SOURCESONLY","NONE","DEFAULT",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_10.xml",0.477876106,0.477876106,0.477876106,0.477876106,13975942,13830373,13826210,13830373,186,186,187,186,"NONE",4,"DEFAULT","REMOVECODE","GEOM","FLOWINSENSITIVE","ALL",1,1,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULT",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_100.xml",0.427906977,0.427906977,0.427906977,0.427906977,5284315,5610140,4918661,5284315,198,196,198,198,"PTSBASED",3,"DEFAULT","NONE","CHA","CONTEXTFLOWSENSITIVE","NONE",1,600,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"5","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_101.xml",0.567901235,0.567901235,0.567901235,0.567901235,3796799,3736103,3801610,3796799,198,198,198,198,"LAZY",4,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ARRAYONLY",50,600,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"6","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_102.xml",0.345177665,0.345177665,0.345177665,0.345177665,5895393,5077053,5399722,5399722,197,198,198,198,"NONE",5,"FAST","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","ALL",80,600,"CONTEXTINSENSITIVE","NONE","EASY",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"7","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_103.xml",0.618473896,0.616,0.616,0.616,3772703,3984705,3844089,3844089,198,198,198,198,"FLOWSENSITIVE",7,"DEFAULT","REMOVECODE","SPARK","CONTEXTFLOWSENSITIVE","NONE",90,600,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULT",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_104.xml",0.46728972,0.46728972,0.474418605,0.46728972,8827887,8901010,8420578,8827887,191,191,192,191,"NONE",10,"FAST","PROPAGATECONSTS","GEOM","CONTEXTFLOWSENSITIVE","ALL",100,600,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"9","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_105.xml",0.513513514,0.513513514,0.513513514,0.513513514,3973538,3842507,3641737,3842507,198,198,198,198,"LAZY",20,"DEFAULT","PROPAGATECONSTS","AUTO","CONTEXTFLOWSENSITIVE","ARRAYONLY",110,600,"CONTEXTSENSITIVE","NONE","NONE",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"10","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_106.xml",0.625,0.625,0.625,0.625,4433192,3860059,3624211,3860059,197,198,198,198,"FLOWSENSITIVE",1,"FAST","REMOVECODE","AUTO","FLOWINSENSITIVE","ALL",120,600,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULT",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"11","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_107.xml",0.55,0.55,0.55,0.55,5796097,5791513,6300148,5796097,196,196,195,196,"FLOWSENSITIVE",2,"DEFAULT","PROPAGATECONSTS","SPARK","FLOWINSENSITIVE","NONE",150,600,"SOURCESONLY","CONTEXTFLOWSENSITIVE","NONE",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"12","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_108.xml",0.551724138,0.551724138,0.551724138,0.551724138,5559079,5882971,6067153,5882971,198,197,197,197,"PTSBASED",5,"FAST","PROPAGATECONSTS","SPARK","CONTEXTFLOWSENSITIVE","ALL",200,600,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"13","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_109.xml",0.525423729,0.525423729,0.525423729,0.525423729,4583403,4455425,4614048,4583403,198,198,198,198,"FLOWSENSITIVE",4,"DEFAULT","PROPAGATECONSTS","RTA","FLOWINSENSITIVE","NONE",600,600,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"14","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_11.xml",0.472222222,0.472222222,0.472222222,0.472222222,3507477,3640508,4561639,3640508,198,198,197,198,"FLOWSENSITIVE",5,"DEFAULT","NONE","AUTO","CONTEXTFLOWSENSITIVE","NONE",50,1,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"15","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_110.xml",0.382352941,0.390243902,0.390243902,0.390243902,3930081,3430809,3934305,3930081,198,198,197,198,"LAZY",7,"DEFAULT","PROPAGATECONSTS","CHA","CONTEXTFLOWSENSITIVE","ALL",90,90,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"16","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_111.xml",0.45814978,0.45814978,0.45814978,0.45814978,4646782,4502233,4610496,4610496,198,198,198,198,"PTSBASED",2,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ALL",80,1,"CONTEXTINSENSITIVE","NONE","DEFAULTFALLBACK",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"17","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_112.xml",0.625482625,0.625482625,0.625482625,0.625482625,5409022,5333156,5304194,5333156,196,196,196,196,"PTSBASED",1,"DEFAULT","PROPAGATECONSTS","RTA","FLOWINSENSITIVE","NONE",110,80,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"18","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_113.xml",0.41314554,0.41314554,0.41314554,0.41314554,4179345,3324086,3912571,3912571,197,198,197,197,"PTSBASED",5,"FAST","PROPAGATECONSTS","SPARK","CONTEXTFLOWSENSITIVE","ARRAYONLY",100,50,"SOURCESONLY","NONE","DEFAULT",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"19","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_12.xml",0.336633663,0.336633663,0.336633663,0.336633663,5486187,5224229,5310594,5310594,198,198,198,198,"PTSBASED",7,"FAST","PROPAGATECONSTS","CHA","CONTEXTFLOWSENSITIVE","ALL",80,1,"CONTEXTSENSITIVE","NONE","EASY",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"20","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_13.xml",0.550847458,0.556962025,0.556962025,0.556962025,4118053,3977428,4111894,4111894,198,198,198,198,"LAZY",10,"DEFAULT","PROPAGATECONSTS","VTA","FLOWINSENSITIVE","NONE",90,1,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"21","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_14.xml",0.486956522,0.486956522,0.486956522,0.486956522,5668514,5418232,5497445,5497445,198,198,198,198,"NONE",20,"FAST","REMOVECODE","RTA","FLOWINSENSITIVE","ARRAYONLY",100,1,"CONTEXTSENSITIVE","NONE","DEFAULTFALLBACK",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"22","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_15.xml",0.396135266,0.396135266,0.396135266,0.396135266,4689312,4790122,4806872,4790122,196,196,196,196,"FLOWSENSITIVE",1,"DEFAULT","REMOVECODE","SPARK","CONTEXTFLOWSENSITIVE","ALL",110,1,"SOURCESONLY","NONE","NONE",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"23","/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/FlowDroid/2-way/config_FlowDroid_2way_16.xml",0.477477477,0.477477477,0.477477477,0.477477477,8330378,8080157,8201563,8201563,198,198,198,198,"PTSBASED",2,"FAST","PROPAGATECONSTS","GEOM","FLOWINSENSITIVE","NONE",120,1,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
