"","config","time r1","time r2","time r3","tp r1","tp r2","tp r3","fp r1","fp r2","fp r3","completed1","completed2","completed3","time","tp","fp","completed","aliasalgo","aplength","callbackanalyzer","codeelimination","cgalgo","dataflowsolver","implicit","maxcallbackspercomponent","maxcallbacksdepth","pathalgo","staticmode","taintwrapper","aliasflowins","analyzeframeworks","nocallbacks","noexceptions","nothischainreduction","onesourceatatime","onecomponentatatime","pathspecificresults","enablereflection","singlejoinpointabstraction"
"1","config_FlowDroid_2way_0.xml",7073714.63440894,7006990.44680294,6682498.57059236,9,9,8,28,29,28,30,30,30,7006990.44680294,9,28,30,"FLOWSENSITIVE",2,"FAST","PROPAGATECONSTS","CHA","FLOWINSENSITIVE","ARRAYONLY",1,0,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","EASY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","config_FlowDroid_2way_1.xml",35053809.8158505,41336085.886338,41799401.7041225,1,0,0,1,0,0,27,26,26,41336085.886338,0,0,26,"PTSBASED",3,"DEFAULT","REMOVECODE","VTA","CONTEXTFLOWSENSITIVE","ALL",50,0,"SOURCESONLY","NONE","DEFAULT",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3","config_FlowDroid_2way_10.xml",20265884.7100986,21080632.9385649,21697154.3181169,0,0,0,0,0,0,28,28,28,21080632.9385649,0,0,28,"NONE",4,"DEFAULT","REMOVECODE","GEOM","FLOWINSENSITIVE","ALL",1,1,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULT",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"4","config_FlowDroid_2way_100.xml",3896404.56329075,3807680.01477228,4147333.03186867,1,1,1,0,0,0,30,30,30,3896404.56329075,1,0,30,"PTSBASED",3,"DEFAULT","NONE","CHA","CONTEXTFLOWSENSITIVE","NONE",1,600,"SOURCESONLY","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"5","config_FlowDroid_2way_101.xml",1971114.20424003,1758844.55816587,1907165.02459184,1,1,1,6,5,6,30,30,30,1907165.02459184,1,6,30,"LAZY",4,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ARRAYONLY",50,600,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"6","config_FlowDroid_2way_102.xml",12300946.3818092,11448258.6900239,11902782.6102269,2,2,2,6,6,6,29,30,29,11902782.6102269,2,6,29,"NONE",5,"FAST","PROPAGATECONSTS","RTA","CONTEXTFLOWSENSITIVE","ALL",80,600,"CONTEXTINSENSITIVE","NONE","EASY",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"7","config_FlowDroid_2way_103.xml",23347580.9507342,23656640.0333099,23359528.1251673,1,1,1,3,2,2,27,27,27,23359528.1251673,1,2,27,"FLOWSENSITIVE",7,"DEFAULT","REMOVECODE","SPARK","CONTEXTFLOWSENSITIVE","NONE",90,600,"CONTEXTINSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULT",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","config_FlowDroid_2way_104.xml",32786853.8705217,32729368.8219061,32780506.714169,1,1,1,0,0,0,26,26,26,32780506.714169,1,0,26,"NONE",10,"FAST","PROPAGATECONSTS","GEOM","CONTEXTFLOWSENSITIVE","ALL",100,600,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"9","config_FlowDroid_2way_105.xml",2533794.25538634,4838447.53494963,4140480.82256724,1,1,1,0,0,0,30,30,30,4140480.82256724,1,0,30,"LAZY",20,"DEFAULT","PROPAGATECONSTS","AUTO","CONTEXTFLOWSENSITIVE","ARRAYONLY",110,600,"CONTEXTSENSITIVE","NONE","NONE",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"10","config_FlowDroid_2way_106.xml",3203281.08868398,4128442.84133409,3191301.03591317,1,1,1,1,1,1,30,30,30,3203281.08868398,1,1,30,"FLOWSENSITIVE",1,"FAST","REMOVECODE","AUTO","FLOWINSENSITIVE","ALL",120,600,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULT",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"11","config_FlowDroid_2way_107.xml",18127617.4087736,17715559.3824519,16819283.8554203,1,1,1,1,1,1,28,28,28,17715559.3824519,1,1,28,"FLOWSENSITIVE",2,"DEFAULT","PROPAGATECONSTS","SPARK","FLOWINSENSITIVE","NONE",150,600,"SOURCESONLY","CONTEXTFLOWSENSITIVE","NONE",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"12","config_FlowDroid_2way_108.xml",31920804.4932093,28086144.2178339,25998141.0298394,1,1,1,27,26,26,28,28,28,28086144.2178339,1,26,28,"PTSBASED",5,"FAST","PROPAGATECONSTS","SPARK","CONTEXTFLOWSENSITIVE","ALL",200,600,"CONTEXTSENSITIVE","CONTEXTFLOWSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"13","config_FlowDroid_2way_109.xml",15369899.596537,19732451.582657,17840849.1135576,0,0,0,3,3,3,29,29,29,17840849.1135576,0,3,29,"FLOWSENSITIVE",4,"DEFAULT","PROPAGATECONSTS","RTA","FLOWINSENSITIVE","NONE",600,600,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","NONE",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"14","config_FlowDroid_2way_11.xml",1298338.38667557,1578303.16089414,1652435.21610368,1,1,1,0,0,0,30,30,30,1578303.16089414,1,0,30,"FLOWSENSITIVE",5,"DEFAULT","NONE","AUTO","CONTEXTFLOWSENSITIVE","NONE",50,1,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"15","config_FlowDroid_2way_110.xml",3816731.00799531,6050494.51075592,4529055.52565294,1,1,1,8,23,8,30,30,30,4529055.52565294,1,8,30,"LAZY",7,"DEFAULT","PROPAGATECONSTS","CHA","CONTEXTFLOWSENSITIVE","ALL",90,90,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"16","config_FlowDroid_2way_111.xml",5830111.61385987,10807966.921104,8462720.51012817,3,3,3,1,1,1,30,30,30,8462720.51012817,3,1,30,"PTSBASED",2,"FAST","REMOVECODE","VTA","FLOWINSENSITIVE","ALL",80,1,"CONTEXTINSENSITIVE","NONE","DEFAULTFALLBACK",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"17","config_FlowDroid_2way_112.xml",22064591.6421418,28330075.7852429,24912040.384852,0,0,1,56,2,7,29,27,28,24912040.384852,0,7,28,"PTSBASED",1,"DEFAULT","PROPAGATECONSTS","RTA","FLOWINSENSITIVE","NONE",110,80,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","NONE",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"18","config_FlowDroid_2way_113.xml",1291679.18912135,3792347.38702525,2426157.92660927,0,0,0,2,2,2,30,30,30,2426157.92660927,0,2,30,"PTSBASED",5,"FAST","PROPAGATECONSTS","SPARK","CONTEXTFLOWSENSITIVE","ARRAYONLY",100,50,"SOURCESONLY","NONE","DEFAULT",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"19","config_FlowDroid_2way_12.xml",2863183.07303544,3094599.14533083,3223765.26057848,1,1,1,1,1,1,30,30,30,3094599.14533083,1,1,30,"PTSBASED",7,"FAST","PROPAGATECONSTS","CHA","CONTEXTFLOWSENSITIVE","ALL",80,1,"CONTEXTSENSITIVE","NONE","EASY",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"20","config_FlowDroid_2way_13.xml",2177819.39042359,2230918.06330613,2109060.04943442,0,0,0,4,6,3,30,30,30,2177819.39042359,0,4,30,"LAZY",10,"DEFAULT","PROPAGATECONSTS","VTA","FLOWINSENSITIVE","NONE",90,1,"CONTEXTINSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULT",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"21","config_FlowDroid_2way_14.xml",27575467.4134154,31899327.247581,26607776.5979762,1,1,1,4,4,4,27,27,27,27575467.4134154,1,4,27,"NONE",20,"FAST","REMOVECODE","RTA","FLOWINSENSITIVE","ARRAYONLY",100,1,"CONTEXTSENSITIVE","NONE","DEFAULTFALLBACK",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"22","config_FlowDroid_2way_15.xml",26496468.9460825,32399606.4833587,31680482.662164,0,0,0,0,0,5,27,26,27,31680482.662164,0,0,27,"FLOWSENSITIVE",1,"DEFAULT","REMOVECODE","SPARK","CONTEXTFLOWSENSITIVE","ALL",110,1,"SOURCESONLY","NONE","NONE",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"23","config_FlowDroid_2way_16.xml",40301332.9856998,36302162.4349099,38404915.4165015,1,1,1,1,1,1,26,27,27,38404915.4165015,1,1,27,"PTSBASED",2,"FAST","PROPAGATECONSTS","GEOM","FLOWINSENSITIVE","NONE",120,1,"CONTEXTSENSITIVE","CONTEXTFLOWINSENSITIVE","DEFAULTFALLBACK",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"24","config_FlowDroid_2way_17.xml",6781050.17327422,5352351.34023007,5846409.47641094,1,1,1,10,9,13,30,30,30,5846409.47641094,1,10,30,"LAZY",3,"FAST","REMOVECODE","AUTO","CONTEXTFLOWSENSITIVE","ALL",150,1,"CONTEXTSENSITIVE","NONE","NONE",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","config_FlowDroid_2way_18.xml",68248701.7073882,68719535.571192,71454667.5099962,1,1,1,1,1,1,22,22,22,68719535.571192,1,1,22,"NONE",4,"FAST","PROPAGATECONSTS","CHA","FLOWINSENSITIVE","NONE",200,1,"SOURCESONLY","CONTEXTFLOWINSENSITIVE","EASY",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
