apk,config,num_flows,time
com.audible.application.apk,config_FlowDroid_aliasalgofs.xml,40,891505.4652
com.audiomack.apk,config_FlowDroid_aliasalgofs.xml,5,183615.4111
com.azure.authenticator.apk,config_FlowDroid_aliasalgofs.xml,31,1103555.363
com.bitstrips.imoji.apk,config_FlowDroid_aliasalgofs.xml,10,509848.5906
com.contextlogic.wish.apk,config_FlowDroid_aliasalgofs.xml,12,881914.0512
com.creditkarma.mobile.apk,config_FlowDroid_aliasalgofs.xml,1,581466.8965
com.ebay.mobile.apk,config_FlowDroid_aliasalgofs.xml,21,484603.3682
com.enflick.android.TextNow.apk,config_FlowDroid_aliasalgofs.xml,3,123396.3607
com.expedia.bookings.apk,config_FlowDroid_aliasalgofs.xml,18,484428.2979
com.facebook.katana.apk,config_FlowDroid_aliasalgofs.xml,0,75595.54905
com.facebook.orca.apk,config_FlowDroid_aliasalgofs.xml,0,70028.41517
com.fitbit.FitbitMobile.apk,config_FlowDroid_aliasalgofs.xml,12,587431.7125
com.foxsports.android.apk,config_FlowDroid_aliasalgofs.xml,4,124951.3614
com.google.android.apps.adm.apk,config_FlowDroid_aliasalgofs.xml,0,33715.58283
com.google.android.apps.classroom.apk,config_FlowDroid_aliasalgofs.xml,5,422481.6739
com.hulu.plus.apk,config_FlowDroid_aliasalgofs.xml,7,599047.9788
com.google.android.apps.googleassistant.apk,config_FlowDroid_aliasalgofs.xml,0,18057.63046
com.google.android.apps.youtube.kids.apk,config_FlowDroid_aliasalgofs.xml,0,239658.8211
com.google.android.apps.youtube.music.apk,config_FlowDroid_aliasalgofs.xml,4,1289638.021
com.google.android.play.games.apk,config_FlowDroid_aliasalgofs.xml,0,54240.74259
com.google.android.projection.gearhead.apk,config_FlowDroid_aliasalgofs.xml,0,41042.04439
com.google.android.webview.apk,config_FlowDroid_aliasalgofs.xml,0,74527.63548
com.instagram.android.apk,config_FlowDroid_aliasalgofs.xml,2,1013655.922
com.intuit.turbo.apk,config_FlowDroid_aliasalgofs.xml,16,208736.9401
com.intuit.turbotax.mobile.apk,config_FlowDroid_aliasalgofs.xml,0,11396.17932
com.mcdonalds.app.apk,config_FlowDroid_aliasalgofs.xml,24,582406.4842
com.mercariapp.mercari.apk,config_FlowDroid_aliasalgofs.xml,5,100342.9473
com.microsoft.appmanager.apk,config_FlowDroid_aliasalgofs.xml,1,155655.1818
com.microsoft.office.outlook.apk,config_FlowDroid_aliasalgofs.xml,0,128254.3206
com.netflix.mediaclient.apk,config_FlowDroid_aliasalgofs.xml,0,115147.1779
com.particlenews.newsbreak.apk,config_FlowDroid_aliasalgofs.xml,4,106452.1946
com.paypal.android.p2pmobile.apk,config_FlowDroid_aliasalgofs.xml,5,637374.7592
com.pinterest.apk,config_FlowDroid_aliasalgofs.xml,10,621504.8121
com.remind101.apk,config_FlowDroid_aliasalgofs.xml,24,814492.4798
com.roku.remote.apk,config_FlowDroid_aliasalgofs.xml,0,98560.36837
com.shopify.arrive.apk,config_FlowDroid_aliasalgofs.xml,0,79152.07757
com.snapchat.android.apk,config_FlowDroid_aliasalgofs.xml,0,105007.2829
com.squareup.cash.apk,config_FlowDroid_aliasalgofs.xml,13,626859.5411
com.tubitv.apk,config_FlowDroid_aliasalgofs.xml,18,513454.7659
com.subway.mobile.subwayapp03.apk,config_FlowDroid_aliasalgofs.xml,9,488501.162
com.twitter.android.apk,config_FlowDroid_aliasalgofs.xml,0,103980.018
com.ubercab.apk,config_FlowDroid_aliasalgofs.xml,1,273095.5689
com.venmo.apk,config_FlowDroid_aliasalgofs.xml,7,188650.6387
com.whatsapp.apk,config_FlowDroid_aliasalgofs.xml,0,7215534.09
gov.irs.apk,config_FlowDroid_aliasalgofs.xml,14,490479.2434
com.yelp.android.apk,config_FlowDroid_aliasalgofs.xml,5,133995.3631
me.lyft.android.apk,config_FlowDroid_aliasalgofs.xml,9,570020.8651
tv.pluto.android.apk,config_FlowDroid_aliasalgofs.xml,17,221311.3046
tv.twitch.android.app.apk,config_FlowDroid_aliasalgofs.xml,0,68431.83693
videoeditor.videorecorder.screenrecorder.apk,config_FlowDroid_aliasalgofs.xml,21,967846.7401
com.audible.application.apk,config_FlowDroid_aliasalgolazy.xml,0,277544.8698
com.audiomack.apk,config_FlowDroid_aliasalgolazy.xml,0,187377.2474
com.azure.authenticator.apk,config_FlowDroid_aliasalgolazy.xml,0,520459.6021
com.bitstrips.imoji.apk,config_FlowDroid_aliasalgolazy.xml,6,676057.6721
com.contextlogic.wish.apk,config_FlowDroid_aliasalgolazy.xml,0,728042.3663
com.creditkarma.mobile.apk,config_FlowDroid_aliasalgolazy.xml,1,551387.0715
com.ebay.mobile.apk,config_FlowDroid_aliasalgolazy.xml,0,151731.5093
com.enflick.android.TextNow.apk,config_FlowDroid_aliasalgolazy.xml,0,130202.6367
com.expedia.bookings.apk,config_FlowDroid_aliasalgolazy.xml,0,124418.2298
com.facebook.katana.apk,config_FlowDroid_aliasalgolazy.xml,0,79505.70527
com.facebook.orca.apk,config_FlowDroid_aliasalgolazy.xml,0,78064.64678
com.fitbit.FitbitMobile.apk,config_FlowDroid_aliasalgolazy.xml,0,244351.035
com.foxsports.android.apk,config_FlowDroid_aliasalgolazy.xml,4,445261.7392
com.google.android.apps.adm.apk,config_FlowDroid_aliasalgolazy.xml,0,24489.67935
com.google.android.apps.classroom.apk,config_FlowDroid_aliasalgolazy.xml,1,451646.0038
com.google.android.apps.googleassistant.apk,config_FlowDroid_aliasalgolazy.xml,0,21147.6434
com.google.android.apps.youtube.kids.apk,config_FlowDroid_aliasalgolazy.xml,0,277150.73
com.google.android.apps.youtube.music.apk,config_FlowDroid_aliasalgolazy.xml,2,2508812.852
com.hulu.plus.apk,config_FlowDroid_aliasalgolazy.xml,0,368238.1106
com.google.android.play.games.apk,config_FlowDroid_aliasalgolazy.xml,0,47880.03713
com.google.android.projection.gearhead.apk,config_FlowDroid_aliasalgolazy.xml,0,44681.06345
com.google.android.webview.apk,config_FlowDroid_aliasalgolazy.xml,0,86670.20195
com.instagram.android.apk,config_FlowDroid_aliasalgolazy.xml,0,1200610.169
com.intuit.turbo.apk,config_FlowDroid_aliasalgolazy.xml,18,952809.4714
com.intuit.turbotax.mobile.apk,config_FlowDroid_aliasalgolazy.xml,0,147821.3461
com.mcdonalds.app.apk,config_FlowDroid_aliasalgolazy.xml,0,180882.1411
com.mercariapp.mercari.apk,config_FlowDroid_aliasalgolazy.xml,0,96080.76634
com.microsoft.appmanager.apk,config_FlowDroid_aliasalgolazy.xml,0,202655.0012
com.microsoft.office.outlook.apk,config_FlowDroid_aliasalgolazy.xml,0,138315.2348
com.netflix.mediaclient.apk,config_FlowDroid_aliasalgolazy.xml,0,111076.0024
com.particlenews.newsbreak.apk,config_FlowDroid_aliasalgolazy.xml,18,418090.703
com.paypal.android.p2pmobile.apk,config_FlowDroid_aliasalgolazy.xml,0,357851.0313
com.pinterest.apk,config_FlowDroid_aliasalgolazy.xml,0,433395.6078
com.remind101.apk,config_FlowDroid_aliasalgolazy.xml,0,192545.106
com.roku.remote.apk,config_FlowDroid_aliasalgolazy.xml,0,99647.21724
com.shopify.arrive.apk,config_FlowDroid_aliasalgolazy.xml,0,99762.43238
com.snapchat.android.apk,config_FlowDroid_aliasalgolazy.xml,0,99151.08724
com.squareup.cash.apk,config_FlowDroid_aliasalgolazy.xml,0,4121.659273
com.subway.mobile.subwayapp03.apk,config_FlowDroid_aliasalgolazy.xml,0,247656.9182
com.tubitv.apk,config_FlowDroid_aliasalgolazy.xml,9,618835.412
com.twitter.android.apk,config_FlowDroid_aliasalgolazy.xml,0,87294.06961
com.ubercab.apk,config_FlowDroid_aliasalgolazy.xml,0,306011.6976
com.venmo.apk,config_FlowDroid_aliasalgolazy.xml,0,199302.5574
com.whatsapp.apk,config_FlowDroid_aliasalgolazy.xml,0,7213752.99
com.yelp.android.apk,config_FlowDroid_aliasalgolazy.xml,0,150109.6458
gov.irs.apk,config_FlowDroid_aliasalgolazy.xml,0,99955.7294
me.lyft.android.apk,config_FlowDroid_aliasalgolazy.xml,0,251120.7073
tv.pluto.android.apk,config_FlowDroid_aliasalgolazy.xml,24,706584.5535
tv.twitch.android.app.apk,config_FlowDroid_aliasalgolazy.xml,0,52680.86843
videoeditor.videorecorder.screenrecorder.apk,config_FlowDroid_aliasalgolazy.xml,0,267809.5306
com.audible.application.apk,config_FlowDroid_aliasalgonone.xml,30,239654.0494
com.audiomack.apk,config_FlowDroid_aliasalgonone.xml,5,137984.3646
com.azure.authenticator.apk,config_FlowDroid_aliasalgonone.xml,23,321495.5792
