replication,apk,category,generating_script,kcontext,option_under_investigation,true_positive,successful,time,run_time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure,is_tp,is_fp,is_fn,sum_tp,sum_fp,sum_fn,precision,recall,f-measure
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/DirectLeak1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20807,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/InactiveActivity.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,19339,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Library2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,19507,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Obfuscation1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20971,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Parcel1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20756,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,22254,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,19411,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak3.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20981,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PublicAPIField1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20601,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PublicAPIField2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,19767,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/View1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20360,3981559,1,0.5,0.666666667,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,20361,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess2.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,21380,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess3.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20974,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess4.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,21428,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess5.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,TRUE,20370,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,0,0,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayCopy1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,FALSE,20324,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,0,1,0,0,0,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayToString1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,20549,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/HashMapAccess1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,20358,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ListAccess1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,FALSE,FALSE,20766,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,0,1,0,0,1,1,0,0,0
1,/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/MultidimensionalArray1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/Amandroid/single_conf/config_Amandroid_default.xml,1,kcontext,TRUE,TRUE,21162,3981559,0.428571429,0.75,0.545454545,0.87804878,0.45,0.595041322,1,0,0,1,0,0,1,1,1
