apk,category,generating_script,true_positive,successful,time,category_precision,category_recall,category_fmeasure,run_precision,run_recall,run_fmeasure
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/DirectLeak1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,True,268716,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/InactiveActivity.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,False,True,267260,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Library2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,603957,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Obfuscation1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,606964,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/Parcel1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,603786,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,603916,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,604662,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PrivateDataLeak3.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,604877,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PublicAPIField1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,604052,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/PublicAPIField2.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,604637,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/AndroidSpecific/View1.apk,AndroidSpecific,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,603788,1.0,0.1,0.18181818181818182,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess1.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,False,True,603829,0.0,0.0,0,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess2.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,False,True,603747,0.0,0.0,0,0.8387096774193549,0.1625,0.27225130890052357
/home/asm140830/Documents/benchmarks/DroidBench30/benchmark/apks/ArraysAndLists/ArrayAccess3.apk,ArraysAndLists,/home/asm140830/Documents/git/AndroidTAEnvironment/configurations/config_DroidSafe.xml,True,False,603666,0.0,0.0,0,0.8387096774193549,0.1625,0.27225130890052357
