repetition,apk,generating_script,num_flows,time,total_TP,detected_TP,total_FP,detected_FP,option_under_investigation,analyzestringsunfiltered,filetransform,ignoreexceptionflows,ignorenocontextflows,implicitflow,imprecisestrings,limitcontextforcomplex,limitcontextforgui,limitcontextforstrings,multipassfb,noarrayindex,noclinitcontext,noclonestatics,nofallback,nojsa,noscalaropts,nova,preciseinfoflow,transfertaintfield,typesforcontext,apicalldepth,kobjsens,pta
1,anupam.acrylic_17.apk,config_DroidSafe_analyzestringsunfiltered.xml,0,6133425.834,0,0,28,0,analyzestringsunfiltered,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth0.xml,0,788108.7352,0,0,28,0,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth1.xml,6,595462.8529,0,0,28,2,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth100.xml,17,1892139.638,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth110.xml,17,1836793.687,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth120.xml,17,1787555.889,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,120,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth150.xml,17,1822285.516,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,150,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth200.xml,17,1843646.156,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth50.xml,17,1825800.485,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,3,SPARK
1,anupam.acrylic_17.apk,config_DroidSafe_apicalldepth600.xml,17,962801.4985,0,0,28,4,apicalldepth,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,SPARK
