repetition,apk,config,num_flows,time,time_median,total_TP,detected_TP,median_TP,total_FP,detected_FP,median_FP,run_time,completed,aliasalgo,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,implicit,maxcallbackspercomponent,maxcallbacksdepth,pathalgo,staticmode,taintwrapper,aliasflowins,analyzeframeworks,nocallbacks,noexceptions,nothischainreduction,onesourceatatime,onecomponentatatime,pathspecificresults,enablereflection,singlejoinpointabstraction
1,anupam.acrylic_17.apk,config_FlowDroid_2way_0.xml,0,26022.98111,26022.98111,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.angrydoughnuts.android.alarmclock_15.apk,config_FlowDroid_2way_0.xml,33,54019.82303,54019.82303,27,6,6,207,17,17,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.github.yeriomin.workoutlog_2.apk,config_FlowDroid_2way_0.xml,1,48659.03166,45711.4162,0,0,0,12,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.gitlab.ardash.appleflinger.android_1005006.apk,config_FlowDroid_2way_0.xml,0,62404.74763,62698.8888,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.miqote.shanawp_10.apk,config_FlowDroid_2way_0.xml,0,26118.89553,26118.89553,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.notriddle.budget_44.apk,config_FlowDroid_2way_0.xml,0,31763.96898,31763.96898,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,com.nutomic.ensichat_17.apk,config_FlowDroid_2way_0.xml,0,137401.7027,137401.7027,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,daniel_32.flexiblewallpaper_2.apk,config_FlowDroid_2way_0.xml,0,20874.45543,23083.79987,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.kanade.tachiyomi_41.apk,config_FlowDroid_2way_0.xml,87,2305169.239,2036774.463,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,eu.polarclock_10.apk,config_FlowDroid_2way_0.xml,0,34908.43088,27154.35765,0,0,0,0,0,0,7073714.634,1,FLOWSENSITIVE,2,FAST,PROPAGATECONSTS,CHA,FLOWINSENSITIVE,ARRAYONLY,1,0,CONTEXTINSENSITIVE,CONTEXTFLOWINSENSITIVE,EASY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
