file,config,num_matches,num_true,num_false,precision
anupam.acrylic_17.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.angrydoughnuts.android.alarmclock_15.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.github.yeriomin.workoutlog_2.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.materialos.cm.theme_5.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.miqote.shanawp_10.apk,config_FlowDroid_aplength5.xml,0,0,0,0
net.osmand.plus_355.apk,config_FlowDroid_aplength5.xml,0,0,0,0
daniel_32.flexiblewallpaper_2.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.nutomic.ensichat_17.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.notriddle.budget_44.apk,config_FlowDroid_aplength5.xml,0,0,0,0
com.gitlab.ardash.appleflinger.android_1005006.apk,config_FlowDroid_aplength5.xml,0,0,0,0
net.tedstein.AndroSS_17.apk,config_FlowDroid_aplength5.xml,0,0,0,0
eu.kanade.tachiyomi_41.apk,config_FlowDroid_aplength5.xml,0,0,0,0
jackpal.androidterm_72.apk,config_FlowDroid_aplength5.xml,0,0,0,0
eu.polarclock_10.apk,config_FlowDroid_aplength5.xml,0,0,0,0
net.zygotelabs.locker_11.apk,config_FlowDroid_aplength5.xml,0,0,0,0
org.ninthfloor.copperpdf_4.apk,config_FlowDroid_aplength5.xml,0,0,0,0
org.jfedor.frozenbubble_54.apk,config_FlowDroid_aplength5.xml,0,0,0,0
io.github.lonamiwebs.klooni_820.apk,config_FlowDroid_aplength5.xml,0,0,0,0
org.dyndns.sven_ola.debian_kit_6.apk,config_FlowDroid_aplength5.xml,0,0,0,0
pt.isec.tp.am_4.apk,config_FlowDroid_aplength5.xml,0,0,0,0
io.github.alketii.mightyknight_1.apk,config_FlowDroid_aplength5.xml,0,0,0,0
org.jsl.wfwt_14.apk,config_FlowDroid_aplength5.xml,0,0,0,0
ru.henridellal.dialer_10.apk,config_FlowDroid_aplength5.xml,0,0,0,0
org.dnaq.dialer2_17.apk,config_FlowDroid_aplength5.xml,1,1,0,1
net.khertan.forrunners_101030.apk,config_FlowDroid_aplength5.xml,0,0,0,0
trikita.talalarmo_19.apk,config_FlowDroid_aplength5.xml,0,0,0,0
