apk,config,num_flows,time
com.audible.application.apk,config_FlowDroid_aplength7.xml,38,1003861.058
com.audible.application.apk,config_FlowDroid_aliasalgofs.xml,40,891505.4652
com.audible.application.apk,config_FlowDroid_singlejoinpointabstraction.xml,39,1744809.844
com.audible.application.apk,config_FlowDroid_analyzeframeworks.xml,10,1077707.735
com.audible.application.apk,config_FlowDroid_aliasalgolazy.xml,0,277544.8698
com.audible.application.apk,config_FlowDroid_aplength10.xml,45,1183753.666
com.audible.application.apk,config_FlowDroid_callbackanalyzerfast.xml,42,951696.4276
com.audible.application.apk,config_FlowDroid_taintwrapperdefaultfallback.xml,40,1468828.098
com.audible.application.apk,config_FlowDroid_codeeliminationnone.xml,46,967727.991
com.audible.application.apk,config_FlowDroid_aplength3.xml,36,1513984.424
com.audible.application.apk,config_FlowDroid_cgalgogeom.xml,36,1340579.676
com.audible.application.apk,config_FlowDroid_cgalgorta.xml,47,1194208.379
com.audible.application.apk,config_FlowDroid_cgalgocha.xml,49,566289.7282
com.audible.application.apk,config_FlowDroid_aplength1.xml,67,1932096.97
com.audible.application.apk,config_FlowDroid_aplength20.xml,39,984097.3573
com.audible.application.apk,config_FlowDroid_callbackanalyzerdef.xml,41,1020108.54
com.audible.application.apk,config_FlowDroid_cgalgoauto.xml,44,1191500.831
com.audible.application.apk,config_FlowDroid_cgalgospark.xml,39,1461725.441
com.audible.application.apk,config_FlowDroid_aliasalgoptsbased.xml,0,320531.7195
com.audible.application.apk,config_FlowDroid_aliasalgonone.xml,30,239654.0494
com.audible.application.apk,config_FlowDroid_implicitall.xml,41,12559.71094
com.audible.application.apk,config_FlowDroid_cgalgovta.xml,38,1038268.469
com.audible.application.apk,config_FlowDroid_dataflowsolvercsfs.xml,39,1243045.522
com.audible.application.apk,config_FlowDroid_aplength4.xml,44,1384984.805
com.audible.application.apk,config_FlowDroid_aplength5.xml,38,1114294.682
com.audible.application.apk,config_FlowDroid_maxcallbackchain100.xml,49,1080978.347
com.audible.application.apk,config_FlowDroid_aliasflowins.xml,39,1301354.465
com.audible.application.apk,config_FlowDroid_dataflowsolverfins.xml,87,2460287.039
com.audible.application.apk,config_FlowDroid_aplength2.xml,49,1350703.131
com.audible.application.apk,config_FlowDroid_implicitnone.xml,41,1101233.549
com.audible.application.apk,config_FlowDroid_implicitarronly.xml,42,1151493.867
com.audible.application.apk,config_FlowDroid_maxcallbacks1.xml,0,18484.91597
com.audible.application.apk,config_FlowDroid_maxcallbackchain80.xml,41,1209992.29
com.audible.application.apk,config_FlowDroid_codeeliminationrc.xml,41,1143506.559
com.audible.application.apk,config_FlowDroid_maxcallbackchain200.xml,37,1092779.63
com.audible.application.apk,config_FlowDroid_enablereflection.xml,42,2609454.497
com.audible.application.apk,config_FlowDroid_maxcallbackchain110.xml,50,1202374.752
com.audible.application.apk,config_FlowDroid_maxcallbackchain600.xml,44,1384262.857
com.audible.application.apk,config_FlowDroid_maxcallbackchain0.xml,38,1016188.415
com.audible.application.apk,config_FlowDroid_maxcallbackchain150.xml,41,1063472.418
com.audible.application.apk,config_FlowDroid_codeeliminationpc.xml,40,1011941.978
com.audible.application.apk,config_FlowDroid_maxcallbacks120.xml,0,23912.97388
com.audiomack.apk,config_FlowDroid_aliasalgofs.xml,5,183615.4111
com.audible.application.apk,config_FlowDroid_maxcallbackchain50.xml,41,1164789.906
com.audible.application.apk,config_FlowDroid_maxcallbackchain90.xml,44,1065839.915
com.audible.application.apk,config_FlowDroid_maxcallbackchain1.xml,36,967440.5247
com.audible.application.apk,config_FlowDroid_maxcallbacks110.xml,0,31165.4079
com.audible.application.apk,config_FlowDroid_maxcallbackchain120.xml,40,1075567.422
com.audiomack.apk,config_FlowDroid_aplength2.xml,5,297057.1231
com.audible.application.apk,config_FlowDroid_pathspecificresults.xml,45,1625429.19
com.audiomack.apk,config_FlowDroid_cgalgovta.xml,11,1357248.288
com.audiomack.apk,config_FlowDroid_cgalgorta.xml,12,2690529.793
com.audible.application.apk,config_FlowDroid_pathalgocontextsensitive.xml,38,1257251.335
com.audiomack.apk,config_FlowDroid_cgalgospark.xml,5,342705.8674
com.audible.application.apk,config_FlowDroid_onecomponentatatime.xml,0,7225865.24
com.audible.application.apk,config_FlowDroid_maxcallbacks600.xml,0,16993.23087
com.audible.application.apk,config_FlowDroid_staticmodecsfs.xml,46,1824986.989
com.audible.application.apk,config_FlowDroid_maxcallbacks90.xml,0,32452.23582
com.audible.application.apk,config_FlowDroid_nothischainreduction.xml,40,1229798.727
com.audible.application.apk,config_FlowDroid_maxcallbacks200.xml,0,29246.75223
com.audible.application.apk,config_FlowDroid_maxcallbacks50.xml,0,22757.27779
com.audible.application.apk,config_FlowDroid_staticmodefins.xml,39,1633982.556
com.audible.application.apk,config_FlowDroid_nocallbacks.xml,33,1036389.712
com.audible.application.apk,config_FlowDroid_maxcallbacks80.xml,0,16760.07306
com.audible.application.apk,config_FlowDroid_pathalgosourcesonly.xml,0,7224759.22
com.audible.application.apk,config_FlowDroid_taintwrappereasy.xml,44,1705574.833
com.audible.application.apk,config_FlowDroid_pathalgocontextinsensitive.xml,25,1108692.493
com.audible.application.apk,config_FlowDroid_noexceptions.xml,37,1166131.78
com.audiomack.apk,config_FlowDroid_codeeliminationnone.xml,5,220464.0172
com.audible.application.apk,config_FlowDroid_onesourceatatime.xml,0,2357257.328
com.audible.application.apk,config_FlowDroid_staticmodenone.xml,40,1220365.61
com.audible.application.apk,config_FlowDroid_maxcallbacks150.xml,0,30364.34379
com.audible.application.apk,config_FlowDroid_maxcallbacks100.xml,0,30413.43818
com.audible.application.apk,config_FlowDroid_taintwrappernone.xml,8,1512596.092
com.audiomack.apk,config_FlowDroid_aliasflowins.xml,5,237499.5852
com.audiomack.apk,config_FlowDroid_aliasalgolazy.xml,0,187377.2474
com.audiomack.apk,config_FlowDroid_aliasalgoptsbased.xml,0,191647.4289
com.audiomack.apk,config_FlowDroid_aliasalgonone.xml,5,137984.3646
com.audiomack.apk,config_FlowDroid_aplength1.xml,5,1567849.507
com.audiomack.apk,config_FlowDroid_codeeliminationpc.xml,5,212640.7545
com.audiomack.apk,config_FlowDroid_aplength10.xml,5,206356.74
com.audiomack.apk,config_FlowDroid_analyzeframeworks.xml,1,166855.6631
com.audiomack.apk,config_FlowDroid_aplength3.xml,5,312522.2296
com.audiomack.apk,config_FlowDroid_aplength20.xml,5,187736.1535
com.audiomack.apk,config_FlowDroid_aplength5.xml,5,225197.0364
com.audiomack.apk,config_FlowDroid_aplength4.xml,5,272573.9545
com.audiomack.apk,config_FlowDroid_cgalgogeom.xml,6,288902.3802
com.audiomack.apk,config_FlowDroid_cgalgoauto.xml,5,222193.9868
com.audiomack.apk,config_FlowDroid_aplength7.xml,5,259425.2087
com.audiomack.apk,config_FlowDroid_callbackanalyzerdef.xml,5,201800.1033
com.audiomack.apk,config_FlowDroid_callbackanalyzerfast.xml,3,273034.9615
com.audiomack.apk,config_FlowDroid_cgalgocha.xml,31,632214.5839
com.audiomack.apk,config_FlowDroid_codeeliminationrc.xml,5,212449.8139
com.audiomack.apk,config_FlowDroid_dataflowsolvercsfs.xml,5,279357.9372
com.audiomack.apk,config_FlowDroid_dataflowsolverfins.xml,7,915420.8507
com.audiomack.apk,config_FlowDroid_enablereflection.xml,6,694300.3578
com.audiomack.apk,config_FlowDroid_implicitall.xml,14,1111128.398
com.audiomack.apk,config_FlowDroid_implicitarronly.xml,5,217202.7583
com.audiomack.apk,config_FlowDroid_implicitnone.xml,5,194054.0928
com.audiomack.apk,config_FlowDroid_maxcallbackchain100.xml,5,233056.8806
com.audiomack.apk,config_FlowDroid_maxcallbackchain0.xml,5,147015.5052
com.audiomack.apk,config_FlowDroid_maxcallbackchain110.xml,5,257398.8736
com.audiomack.apk,config_FlowDroid_maxcallbackchain150.xml,5,296052.6831
com.audiomack.apk,config_FlowDroid_maxcallbackchain200.xml,5,253656.0541
com.audiomack.apk,config_FlowDroid_maxcallbackchain120.xml,5,266300.5857
com.audiomack.apk,config_FlowDroid_maxcallbacks80.xml,0,19744.61761
com.audiomack.apk,config_FlowDroid_nocallbacks.xml,3,184386.3681
com.audiomack.apk,config_FlowDroid_maxcallbackchain1.xml,3,135286.2005
com.azure.authenticator.apk,config_FlowDroid_aliasalgolazy.xml,0,520459.6021
com.audiomack.apk,config_FlowDroid_maxcallbackchain50.xml,5,231534.4114
com.azure.authenticator.apk,config_FlowDroid_aliasflowins.xml,43,1629283.727
com.azure.authenticator.apk,config_FlowDroid_analyzeframeworks.xml,0,543569.3863
com.audiomack.apk,config_FlowDroid_maxcallbackchain600.xml,5,275496.0895
com.audiomack.apk,config_FlowDroid_maxcallbackchain80.xml,5,235650.0592
com.audiomack.apk,config_FlowDroid_maxcallbacks120.xml,0,16882.31359
com.audiomack.apk,config_FlowDroid_maxcallbacks150.xml,0,20449.05627
com.audiomack.apk,config_FlowDroid_maxcallbacks100.xml,0,26123.3622
com.audiomack.apk,config_FlowDroid_maxcallbackchain90.xml,5,224196.035
com.audiomack.apk,config_FlowDroid_maxcallbacks110.xml,0,12756.86738
com.audiomack.apk,config_FlowDroid_maxcallbacks50.xml,0,18435.5582
com.audiomack.apk,config_FlowDroid_maxcallbacks90.xml,0,20746.06037
com.audiomack.apk,config_FlowDroid_maxcallbacks200.xml,0,29653.69172
com.audiomack.apk,config_FlowDroid_maxcallbacks1.xml,0,23226.30091
com.audiomack.apk,config_FlowDroid_maxcallbacks600.xml,0,11184.21823
com.azure.authenticator.apk,config_FlowDroid_aplength1.xml,85,1282260.503
com.audiomack.apk,config_FlowDroid_onecomponentatatime.xml,0,7224865.159
com.audiomack.apk,config_FlowDroid_pathalgocontextsensitive.xml,5,253579.9238
com.audiomack.apk,config_FlowDroid_onesourceatatime.xml,0,751687.3228
com.audiomack.apk,config_FlowDroid_pathalgosourcesonly.xml,6,588491.8883
com.audiomack.apk,config_FlowDroid_nothischainreduction.xml,5,259348.1531
com.audiomack.apk,config_FlowDroid_pathalgocontextinsensitive.xml,6,260206.7119
com.audiomack.apk,config_FlowDroid_singlejoinpointabstraction.xml,5,506954.9178
com.audiomack.apk,config_FlowDroid_staticmodefins.xml,5,442604.7834
com.audiomack.apk,config_FlowDroid_noexceptions.xml,5,263490.8853
com.azure.authenticator.apk,config_FlowDroid_aliasalgofs.xml,31,1103555.363
com.audiomack.apk,config_FlowDroid_pathspecificresults.xml,5,665385.4261
com.audiomack.apk,config_FlowDroid_staticmodenone.xml,5,499665.4986
com.azure.authenticator.apk,config_FlowDroid_aliasalgonone.xml,23,321495.5792
