file,aliasalgo,aliasflowins,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,analyzeframeworks,implicit,maxcallbackspercomponenet,maxcallbacksdepth,nocallbacks,noexceptions,nothischainreduction,pathalgo,pathspecificresults,onesourceatatime,onecomponentatatime,enablereflection,singlejoinpointabstraction,staticmode,taintwrapper
0,NONE,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
1,FLOWSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
2,PTSBASED,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
3,LAZY,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
4,DEFAULT,TRUE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
5,DEFAULT,FALSE,1,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
6,DEFAULT,FALSE,2,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
7,DEFAULT,FALSE,3,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
8,DEFAULT,FALSE,4,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
9,DEFAULT,FALSE,5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
10,DEFAULT,FALSE,7,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
11,DEFAULT,FALSE,10,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
12,DEFAULT,FALSE,20,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
13,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
14,DEFAULT,FALSE,DEFAULT,FAST,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
15,DEFAULT,FALSE,DEFAULT,DEFAULT,NONE,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
16,DEFAULT,FALSE,DEFAULT,DEFAULT,PROPAGATECONSTS,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
17,DEFAULT,FALSE,DEFAULT,DEFAULT,REMOVECODE,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
18,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,AUTO,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
19,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,CHA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
20,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,VTA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
21,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,RTA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
22,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,SPARK,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
23,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,GEOM,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
24,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,CONTEXTFLOWSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
25,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FLOWINSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
26,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,TRUE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
27,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,NONE,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
28,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,ARRAYONLY,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
29,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,ALL,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
30,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,1,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
31,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,50,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
