file,aliasalgo,aliasflowins,aplength,callbackanalyzer,codeelimination,cgalgo,dataflowsolver,analyzeframeworks,implicit,maxcallbackspercomponent,maxcallbacksdepth,nocallbacks,noexceptions,nothischainreduction,pathalgo,pathspecificresults,onesourceatatime,onecomponentatatime,enablereflection,singlejoinpointabstraction,staticmode,taintwrapper
"config_aliasalgonone,",NONE,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aliasalgofs,",FLOWSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aliasalgoptsbased,",PTSBASED,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aliasalgolazy,",LAZY,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aliasflowins,",DEFAULT,TRUE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength1,",DEFAULT,FALSE,1,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength2,",DEFAULT,FALSE,2,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength3,",DEFAULT,FALSE,3,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength4,",DEFAULT,FALSE,4,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength5,",DEFAULT,FALSE,5,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength7,",DEFAULT,FALSE,7,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength10,",DEFAULT,FALSE,10,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_aplength20,",DEFAULT,FALSE,20,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_callbackanalyzerdef,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_callbackanalyzerfast,",DEFAULT,FALSE,DEFAULT,FAST,DEFAULT,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_codeeliminationnone,",DEFAULT,FALSE,DEFAULT,DEFAULT,NONE,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_codeeliminationpc,",DEFAULT,FALSE,DEFAULT,DEFAULT,PROPAGATECONSTS,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_codeeliminationrc,",DEFAULT,FALSE,DEFAULT,DEFAULT,REMOVECODE,DEFAULT,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgoauto,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,AUTO,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgocha,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,CHA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgovta,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,VTA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgorta,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,RTA,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgospark,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,SPARK,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_cgalgogeom,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,GEOM,DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_dataflowsolvercsfs,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,CONTEXTFLOWSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_dataflowsolverfins,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FLOWINSENSITIVE,FALSE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_analyzeframeworks,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,TRUE,DEFAULT,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
"config_implicitnone,",DEFAULT,FALSE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,FALSE,NONE,DEFAULT,DEFAULT,FALSE,FALSE,FALSE,DEFAULT,FALSE,FALSE,FALSE,FALSE,FALSE,DEFAULT,DEFAULT
